	black_rockcod.fa	stickleback
OG0000010	XP_010766683.1, XP_010789864.1, XP_010790532.1	ENSGACP00000012495.1, ENSGACP00000015585.1, ENSGACP00000015589.1, ENSGACP00000015594.1, ENSGACP00000018295.1, ENSGACP00000018297.1, ENSGACP00000018299.1, ENSGACP00000018664.1, ENSGACP00000027218.1, ENSGACP00000027219.1, ENSGACP00000027220.1, ENSGACP00000027221.1
OG0000011	XP_010781706.1, XP_010781714.1, XP_010781720.1, XP_010781728.1, XP_010781735.1, XP_010781741.1, XP_010781749.1, XP_010781758.1, XP_010781767.1, XP_010781774.1, XP_010781783.1, XP_010781790.1, XP_010781797.1	ENSGACP00000004509.1, ENSGACP00000004516.1
OG0000012	XP_010789118.1	ENSGACP00000001119.1, ENSGACP00000001121.1, ENSGACP00000001122.1, ENSGACP00000001124.1, ENSGACP00000001126.1, ENSGACP00000001459.1, ENSGACP00000020873.1, ENSGACP00000020874.1, ENSGACP00000020876.1, ENSGACP00000020877.1, ENSGACP00000020878.1, ENSGACP00000023847.1, ENSGACP00000023848.1, ENSGACP00000024643.1
OG0000013	XP_010765761.1, XP_010772849.1, XP_010774127.1, XP_010776711.1, XP_010776937.1, XP_010779020.1, XP_010783890.1, XP_010790209.1, XP_010790220.1	ENSGACP00000003833.1, ENSGACP00000003957.1, ENSGACP00000006780.1, ENSGACP00000013282.1, ENSGACP00000018099.1
OG0000014	XP_010767336.1, XP_010770885.1, XP_010774946.1, XP_010775688.1, XP_010781215.1, XP_010781662.1, XP_010784272.1, XP_010788499.1, XP_010788864.1, XP_010790024.1, XP_010792726.1, XP_010793286.1	ENSGACP00000006925.1, ENSGACP00000006929.1
OG0000015	XP_010768770.1, XP_010768771.1, XP_010768772.1, XP_010768774.1, XP_010768775.1, XP_010768776.1, XP_010768777.1, XP_010768778.1, XP_010768779.1, XP_010768780.1, XP_010768781.1, XP_010768782.1, XP_010768783.1	ENSGACP00000018712.1
OG0000016	XP_010775871.1, XP_010775872.1, XP_010775873.1, XP_010775874.1, XP_010775875.1, XP_010775876.1, XP_010775877.1, XP_010775878.1, XP_010775879.1, XP_010775880.1, XP_010775881.1, XP_010775882.1	ENSGACP00000015861.2, ENSGACP00000015868.1
OG0000017	XP_010793489.1, XP_010793490.1	ENSGACP00000000290.1, ENSGACP00000000350.1, ENSGACP00000000351.1, ENSGACP00000000683.1, ENSGACP00000000690.1, ENSGACP00000000692.1, ENSGACP00000002294.1, ENSGACP00000002297.1, ENSGACP00000002309.1, ENSGACP00000002392.1, ENSGACP00000018725.1, ENSGACP00000018729.1
OG0000018	XP_010764287.1, XP_010764288.1, XP_010764289.1, XP_010764290.1, XP_010764291.1, XP_010764292.1, XP_010764293.1, XP_010764294.1, XP_010764295.1, XP_010764296.1, XP_010764298.1, XP_010764299.1	ENSGACP00000021826.1
OG0000019	XP_010765314.1, XP_010765315.1, XP_010765316.1, XP_010765318.1, XP_010765319.1, XP_010765320.1, XP_010765321.1, XP_010765322.1, XP_010765323.1, XP_010765324.1	ENSGACP00000010747.1, ENSGACP00000010757.1, ENSGACP00000010774.1
OG0000020	XP_010771659.1, XP_010778097.1	ENSGACP00000000205.1, ENSGACP00000000206.1, ENSGACP00000001643.1, ENSGACP00000001657.1, ENSGACP00000002261.1, ENSGACP00000002275.1, ENSGACP00000024774.1, ENSGACP00000024919.1, ENSGACP00000024929.1, ENSGACP00000026208.1, ENSGACP00000026212.1
OG0000021	XP_010773293.1	ENSGACP00000000569.1, ENSGACP00000001621.1, ENSGACP00000001630.1, ENSGACP00000001649.1, ENSGACP00000001655.1, ENSGACP00000003372.1, ENSGACP00000003385.1, ENSGACP00000003548.1, ENSGACP00000003742.1, ENSGACP00000018375.1, ENSGACP00000018388.1, ENSGACP00000019636.1
OG0000022	XP_010777202.1, XP_010785906.1, XP_010786146.1, XP_010789690.1, XP_010793891.1	ENSGACP00000001690.2, ENSGACP00000014700.1, ENSGACP00000014906.1, ENSGACP00000014910.1, ENSGACP00000014913.1, ENSGACP00000016585.1, ENSGACP00000026308.1, ENSGACP00000026972.1
OG0000023	XP_010781680.1, XP_010781681.1, XP_010781682.1, XP_010781683.1, XP_010781684.1, XP_010781685.1, XP_010781687.1, XP_010781688.1, XP_010781689.1, XP_010781690.1, XP_010781691.1, XP_010781692.1	ENSGACP00000023663.1
OG0000024	XP_010793636.1, XP_010793637.1, XP_010793638.1, XP_010793639.1, XP_010793640.1, XP_010793641.1, XP_010793642.1, XP_010793643.1, XP_010793644.1, XP_010793646.1, XP_010793647.1, XP_010793648.1	ENSGACP00000019798.1
OG0000025	XP_010767324.1, XP_010767325.1, XP_010767326.1, XP_010767518.1, XP_010767519.1, XP_010778053.1, XP_010778664.1, XP_010779363.1, XP_010779365.1, XP_010779366.1, XP_010779367.1	ENSGACP00000013911.1
OG0000026	XP_010768681.1, XP_010770531.1, XP_010772175.1, XP_010773307.1, XP_010773308.1, XP_010786340.1, XP_010786341.1, XP_010789807.1	ENSGACP00000008139.1, ENSGACP00000011142.1, ENSGACP00000020562.1, ENSGACP00000023731.1
OG0000027	XP_010770411.1, XP_010770412.1, XP_010770413.1, XP_010770415.1, XP_010770416.1, XP_010770417.1, XP_010770418.1, XP_010770419.1, XP_010770420.1, XP_010775074.1	ENSGACP00000011484.1, ENSGACP00000017874.1
OG0000028	XP_010774742.1, XP_010785775.1, XP_010785925.1, XP_010786539.1, XP_010786540.1, XP_010786959.1, XP_010786971.1, XP_010787654.1, XP_010787655.1	ENSGACP00000023086.1, ENSGACP00000023088.1, ENSGACP00000023197.1
OG0000029	XP_010792605.1	ENSGACP00000025177.1, ENSGACP00000025178.1, ENSGACP00000025180.1, ENSGACP00000025183.1, ENSGACP00000025186.1, ENSGACP00000025187.1, ENSGACP00000025191.1, ENSGACP00000025206.1, ENSGACP00000025207.1, ENSGACP00000025209.1, ENSGACP00000025210.1
OG0000030	XP_010764398.1, XP_010764399.1, XP_010764400.1, XP_010783724.1, XP_010783725.1, XP_010783726.1, XP_010785989.1, XP_010785998.1	ENSGACP00000003107.1, ENSGACP00000018867.1, ENSGACP00000023012.2
OG0000031	XP_010768502.1, XP_010794637.1	ENSGACP00000002552.1, ENSGACP00000002554.1, ENSGACP00000012580.1, ENSGACP00000012587.1, ENSGACP00000012592.1, ENSGACP00000012602.1, ENSGACP00000018907.1, ENSGACP00000018916.1, ENSGACP00000018923.1
OG0000032	XP_010773544.1, XP_010773545.1, XP_010773547.1, XP_010773548.1, XP_010773549.1, XP_010773550.1, XP_010773551.1, XP_010773552.1, XP_010773553.1, XP_010773554.1	ENSGACP00000020054.1
OG0000033	XP_010773977.1, XP_010773978.1, XP_010773979.1, XP_010773980.1, XP_010773981.1, XP_010773982.1, XP_010773983.1, XP_010773984.1, XP_010773985.1	ENSGACP00000017518.1, ENSGACP00000017521.1
OG0000034	XP_010775981.1, XP_010779734.1	ENSGACP00000000002.1, ENSGACP00000001141.1, ENSGACP00000001232.1, ENSGACP00000001443.1, ENSGACP00000001564.1, ENSGACP00000014854.1, ENSGACP00000020708.1, ENSGACP00000020710.1, ENSGACP00000022683.1
OG0000035	XP_010776398.1, XP_010776399.1, XP_010776400.1, XP_010776401.1, XP_010776402.1, XP_010776403.1, XP_010776405.1, XP_010776406.1, XP_010776407.1, XP_010776408.1	ENSGACP00000007648.1
OG0000036	XP_010777459.1, XP_010777460.1, XP_010782217.1, XP_010782218.1, XP_010782219.1, XP_010788227.1, XP_010788229.1, XP_010788230.1	ENSGACP00000003458.1, ENSGACP00000004951.1, ENSGACP00000014216.1
OG0000037	XP_010777618.1, XP_010780823.1, XP_010785279.1	ENSGACP00000001988.1, ENSGACP00000002002.1, ENSGACP00000003827.1, ENSGACP00000003854.1, ENSGACP00000003913.1, ENSGACP00000003937.1, ENSGACP00000013220.1, ENSGACP00000013242.1
OG0000038	XP_010777959.1, XP_010777960.1, XP_010777961.1, XP_010777962.1, XP_010777963.1, XP_010777964.1, XP_010777965.1, XP_010777966.1	ENSGACP00000001316.1, ENSGACP00000001318.1, ENSGACP00000001319.1
OG0000039	XP_010779163.1, XP_010781891.1, XP_010781892.1, XP_010781893.1, XP_010781894.1, XP_010781895.1, XP_010781897.1, XP_010781898.1, XP_010781899.1	ENSGACP00000006610.1, ENSGACP00000016627.1
OG0000040	XP_010780106.1	ENSGACP00000000741.1, ENSGACP00000000743.1, ENSGACP00000000744.1, ENSGACP00000001002.1, ENSGACP00000013864.1, ENSGACP00000013871.1, ENSGACP00000013873.1, ENSGACP00000013880.1, ENSGACP00000013882.1, ENSGACP00000013885.1
OG0000041	XP_010785257.1	ENSGACP00000000146.1, ENSGACP00000000152.1, ENSGACP00000000175.1, ENSGACP00000000183.1, ENSGACP00000000191.1, ENSGACP00000000196.1, ENSGACP00000001692.1, ENSGACP00000001696.1, ENSGACP00000002381.1, ENSGACP00000002543.1
OG0000042	XP_010785298.1	ENSGACP00000000425.1, ENSGACP00000000430.1, ENSGACP00000000431.1, ENSGACP00000000432.1, ENSGACP00000000437.1, ENSGACP00000000450.1, ENSGACP00000000452.1, ENSGACP00000023736.1, ENSGACP00000023737.1, ENSGACP00000025189.1
OG0000043	XP_010787774.1, XP_010787776.1, XP_010787777.1, XP_010787778.1, XP_010787779.1, XP_010787780.1, XP_010787781.1, XP_010787782.1, XP_010787783.1, XP_010787784.1	ENSGACP00000019923.1
OG0000044	XP_010791545.1, XP_010791546.1, XP_010791548.1, XP_010791549.1, XP_010791550.1, XP_010791551.1, XP_010791552.1, XP_010791553.1, XP_010791554.1, XP_010791555.1	ENSGACP00000020452.1
OG0000045	XP_010793290.1, XP_010793291.1, XP_010793292.1, XP_010793293.1, XP_010793294.1, XP_010793295.1, XP_010793296.1, XP_010793297.1, XP_010793298.1, XP_010793299.1	ENSGACP00000002784.1
OG0000046	XP_010794738.1, XP_010794739.1, XP_010794740.1, XP_010794741.1, XP_010794742.1, XP_010794743.1, XP_010794744.1, XP_010794745.1, XP_010794746.1, XP_010794748.1	ENSGACP00000004606.1
OG0000047	XP_010795185.1, XP_010795186.1, XP_010795187.1, XP_010795188.1, XP_010795189.1, XP_010795190.1, XP_010795191.1, XP_010795193.1, XP_010795194.1, XP_010795195.1	ENSGACP00000008242.1
OG0000048	XP_010764368.1, XP_010766622.1, XP_010787350.1, XP_010787351.1, XP_010789108.1	ENSGACP00000000415.1, ENSGACP00000000416.1, ENSGACP00000017976.1, ENSGACP00000017980.1, ENSGACP00000026818.1
OG0000049	XP_010764816.1, XP_010782740.1, XP_010782741.1, XP_010790859.1, XP_010791873.1	ENSGACP00000000961.1, ENSGACP00000005732.1, ENSGACP00000005741.1, ENSGACP00000012053.1, ENSGACP00000012063.1
OG0000050	XP_010765519.1, XP_010765520.1, XP_010769699.1, XP_010773577.1, XP_010781970.1, XP_010781974.1, XP_010781983.1	ENSGACP00000007509.1, ENSGACP00000012671.1, ENSGACP00000013141.1
OG0000051	XP_010765921.1, XP_010782038.1, XP_010782039.1, XP_010782040.1, XP_010782041.1, XP_010782042.1, XP_010782043.1, XP_010782044.1	ENSGACP00000010510.1, ENSGACP00000021668.1
OG0000052	XP_010766827.1, XP_010771597.1, XP_010771598.1	ENSGACP00000000008.1, ENSGACP00000000009.1, ENSGACP00000000052.1, ENSGACP00000000053.1, ENSGACP00000003963.1, ENSGACP00000003983.1, ENSGACP00000003996.1
OG0000053	XP_010767209.1, XP_010767210.1, XP_010767211.1, XP_010767212.1, XP_010767213.1, XP_010767214.1, XP_010767216.1, XP_010767217.1	ENSGACP00000008806.1, ENSGACP00000008813.1
OG0000054	XP_010767572.1, XP_010768740.1, XP_010774134.1, XP_010791085.1	ENSGACP00000006815.1, ENSGACP00000006831.1, ENSGACP00000008845.1, ENSGACP00000011389.1, ENSGACP00000020478.1, ENSGACP00000021149.1
OG0000055	XP_010767955.1, XP_010767957.1, XP_010767958.1, XP_010767959.1, XP_010767960.1, XP_010767961.1, XP_010767962.1, XP_010767963.1, XP_010767965.1	ENSGACP00000026216.1
OG0000056	XP_010769073.1, XP_010776174.1, XP_010776176.1	ENSGACP00000001562.1, ENSGACP00000025083.1, ENSGACP00000025084.1, ENSGACP00000025085.1, ENSGACP00000025086.1, ENSGACP00000025087.1, ENSGACP00000025088.1
OG0000057	XP_010771081.1, XP_010775315.1	ENSGACP00000005506.1, ENSGACP00000005534.1, ENSGACP00000005549.1, ENSGACP00000020634.1, ENSGACP00000020651.1, ENSGACP00000020656.1, ENSGACP00000020660.1, ENSGACP00000020663.1
OG0000058	XP_010773141.1, XP_010773142.1, XP_010773143.1, XP_010773144.1, XP_010773145.1, XP_010773146.1, XP_010773148.1, XP_010773149.1, XP_010773150.1	ENSGACP00000016372.1
OG0000059	XP_010774927.1, XP_010778404.1, XP_010784103.1, XP_010787182.1, XP_010787645.1	ENSGACP00000000576.1, ENSGACP00000003557.1, ENSGACP00000012694.1, ENSGACP00000019630.1, ENSGACP00000026988.1
OG0000060	XP_010775424.1, XP_010791840.1, XP_010792747.1, XP_010793961.1	ENSGACP00000008066.1, ENSGACP00000008070.1, ENSGACP00000010225.1, ENSGACP00000010232.1, ENSGACP00000013361.1, ENSGACP00000020199.1
OG0000061	XP_010776983.1, XP_010776984.1, XP_010776985.1, XP_010776986.1, XP_010776987.1, XP_010776988.1, XP_010776989.1, XP_010776990.1	ENSGACP00000004127.1, ENSGACP00000004130.1
OG0000062	XP_010777204.1, XP_010777488.1, XP_010777489.1, XP_010777490.1, XP_010777491.1, XP_010777492.1, XP_010777493.1, XP_010777494.1	ENSGACP00000006797.1, ENSGACP00000020007.1
OG0000063	XP_010777387.1	ENSGACP00000001639.1, ENSGACP00000001642.1, ENSGACP00000003651.1, ENSGACP00000003654.1, ENSGACP00000003659.1, ENSGACP00000003665.1, ENSGACP00000003680.1, ENSGACP00000018499.1, ENSGACP00000018503.1
OG0000064	XP_010782051.1	ENSGACP00000007587.1, ENSGACP00000007596.1, ENSGACP00000007597.1, ENSGACP00000007601.1, ENSGACP00000007609.1, ENSGACP00000007619.1, ENSGACP00000007620.1, ENSGACP00000007621.1, ENSGACP00000007630.1
OG0000065	XP_010782579.1, XP_010789102.1, XP_010789103.1, XP_010789105.1, XP_010789106.1, XP_010789107.1	ENSGACP00000013344.1, ENSGACP00000024737.1, ENSGACP00000024744.1, ENSGACP00000024748.1
OG0000066	XP_010785996.1, XP_010785997.1, XP_010785999.1, XP_010786000.1, XP_010786001.1, XP_010786002.1, XP_010786003.1, XP_010786004.1, XP_010786005.1	ENSGACP00000012686.1
OG0000067	XP_010786201.1, XP_010786202.1, XP_010786203.1, XP_010786204.1, XP_010786205.1, XP_010786207.1, XP_010786208.1, XP_010786209.1, XP_010786211.1	ENSGACP00000016326.1
OG0000068	XP_010791441.1, XP_010791442.1, XP_010791443.1, XP_010791444.1, XP_010791445.1, XP_010791446.1, XP_010791447.1	ENSGACP00000013561.1, ENSGACP00000013564.1, ENSGACP00000013566.1
OG0000069	XP_010764551.1, XP_010764552.1, XP_010764553.1, XP_010764554.1, XP_010764555.1, XP_010764556.1, XP_010764557.1, XP_010764558.1	ENSGACP00000025313.1
OG0000070	XP_010764878.1, XP_010775422.1, XP_010785211.1, XP_010788072.1	ENSGACP00000003077.1, ENSGACP00000018672.1, ENSGACP00000018677.1, ENSGACP00000019483.1, ENSGACP00000019489.1
OG0000071	XP_010764947.1, XP_010764955.1, XP_010764963.1, XP_010764971.1, XP_010764980.1, XP_010764988.1, XP_010764995.1, XP_010765001.1	ENSGACP00000001771.1
OG0000072	XP_010765398.1, XP_010790839.1, XP_010790840.1, XP_010790841.1, XP_010790842.1, XP_010790843.1, XP_010790844.1	ENSGACP00000003415.1, ENSGACP00000003421.1
OG0000073	XP_010766401.1, XP_010766402.1, XP_010766403.1, XP_010766405.1, XP_010785032.1, XP_010785042.1	ENSGACP00000011874.1, ENSGACP00000011878.1, ENSGACP00000022347.1
OG0000074	XP_010766580.1, XP_010766581.1, XP_010777652.1, XP_010780665.1, XP_010790357.1	ENSGACP00000001556.1, ENSGACP00000001557.1, ENSGACP00000007997.1, ENSGACP00000023781.1
OG0000075	XP_010767062.1, XP_010767131.1, XP_010767761.1, XP_010770686.1, XP_010787265.1	ENSGACP00000006686.1, ENSGACP00000013313.1, ENSGACP00000014786.1, ENSGACP00000024686.1
OG0000076	XP_010768054.1, XP_010768062.1, XP_010768068.1, XP_010768076.1, XP_010768082.1, XP_010768089.1, XP_010768096.1, XP_010768104.1	ENSGACP00000018041.1
OG0000077	XP_010769967.1, XP_010769968.1, XP_010769969.1, XP_010769970.1, XP_010769971.1, XP_010769972.1, XP_010769973.1, XP_010769974.1	ENSGACP00000006460.1
OG0000078	XP_010772180.1	ENSGACP00000000251.1, ENSGACP00000000831.1, ENSGACP00000000832.1, ENSGACP00000001084.1, ENSGACP00000002178.1, ENSGACP00000007208.1, ENSGACP00000008888.1, ENSGACP00000019161.1
OG0000079	XP_010773060.1, XP_010773061.1, XP_010776392.1, XP_010776393.1, XP_010789549.1	ENSGACP00000000535.1, ENSGACP00000000537.1, ENSGACP00000007730.1, ENSGACP00000007735.1
OG0000080	XP_010773360.1, XP_010787936.1, XP_010787937.1, XP_010787938.1, XP_010787939.1, XP_010787940.1	ENSGACP00000013319.1, ENSGACP00000016480.1, ENSGACP00000016495.1
OG0000081	XP_010774437.1, XP_010774438.1, XP_010774440.1, XP_010774441.1, XP_010774442.1, XP_010774443.1, XP_010774444.1	ENSGACP00000009793.1, ENSGACP00000009798.1
OG0000082	XP_010774867.1, XP_010776164.1, XP_010776165.1, XP_010776166.1, XP_010783403.1	ENSGACP00000001715.1, ENSGACP00000016587.1, ENSGACP00000016590.1, ENSGACP00000016596.1
OG0000083	XP_010775064.1, XP_010775308.1, XP_010775696.1, XP_010778514.1, XP_010778516.1, XP_010779439.1, XP_010784990.1, XP_010788042.1	ENSGACP00000008579.1
OG0000084	XP_010775426.1, XP_010775427.1, XP_010783416.1, XP_010791850.1	ENSGACP00000008037.1, ENSGACP00000010568.1, ENSGACP00000013431.1, ENSGACP00000017134.1, ENSGACP00000020213.2
OG0000085	XP_010776050.1	ENSGACP00000000984.1, ENSGACP00000021662.1, ENSGACP00000021665.1, ENSGACP00000021675.1, ENSGACP00000021677.1, ENSGACP00000021678.1, ENSGACP00000021679.1, ENSGACP00000021681.1
OG0000086	XP_010777315.1, XP_010777518.1, XP_010779194.1, XP_010783119.1, XP_010787204.1, XP_010788131.1	ENSGACP00000000998.1, ENSGACP00000009235.1, ENSGACP00000010903.1
OG0000087	XP_010777463.1, XP_010777712.1, XP_010792689.1	ENSGACP00000012781.1, ENSGACP00000012784.1, ENSGACP00000025685.1, ENSGACP00000025688.1, ENSGACP00000025689.1, ENSGACP00000025693.1
OG0000088	XP_010778888.1, XP_010778889.1, XP_010778890.1, XP_010778891.1, XP_010778892.1, XP_010778893.1, XP_010778894.1	ENSGACP00000019502.1, ENSGACP00000019504.1
OG0000089	XP_010779032.1, XP_010779033.1, XP_010779034.1, XP_010779036.1, XP_010779037.1, XP_010779038.1, XP_010779039.1, XP_010779040.1	ENSGACP00000013907.1
OG0000090	XP_010780679.1, XP_010780680.1, XP_010780683.1, XP_010780684.1, XP_010780685.1, XP_010780686.1, XP_010780687.1	ENSGACP00000009775.1, ENSGACP00000009780.1
OG0000091	XP_010780997.1, XP_010795115.1	ENSGACP00000002924.1, ENSGACP00000011698.1, ENSGACP00000011704.1, ENSGACP00000011714.1, ENSGACP00000011723.1, ENSGACP00000011729.1, ENSGACP00000011734.1
OG0000092	XP_010781325.1, XP_010781326.1, XP_010781327.1, XP_010781329.1, XP_010781330.1, XP_010781331.1, XP_010781332.1, XP_010781333.1	ENSGACP00000027206.1
OG0000093	XP_010783957.1, XP_010783959.1, XP_010783960.1, XP_010783961.1, XP_010783962.1, XP_010783963.1, XP_010783964.1, XP_010783965.1	ENSGACP00000022797.1
OG0000094	XP_010786251.1, XP_010789302.1, XP_010793842.1	ENSGACP00000000054.1, ENSGACP00000001508.1, ENSGACP00000009809.1, ENSGACP00000010321.1, ENSGACP00000010710.1, ENSGACP00000022018.1
