record	sig_segments	total_length
XP_010771366.1	1	10
XP_010771367.1	1	10
XP_010771407.1	1	10
XP_010771514.1	1	10
XP_010771547.1	1	32
XP_010771564.1	1	37
XP_010771727.1	1	15
XP_010771730.1	1	11
XP_010772125.1	2	25
XP_010772134.1	1	11
XP_010772135.1	1	11
XP_010772136.1	1	11
XP_010772163.1	1	24
XP_010772171.1	1	24
XP_010772179.1	1	24
XP_010772187.1	1	24
XP_010772195.1	1	24
XP_010772200.1	1	24
XP_010772208.1	1	24
XP_010772238.1	1	15
XP_010772386.1	1	21
XP_010772530.1	1	18
XP_010772597.1	3	46
XP_010772609.1	1	15
XP_010772622.1	1	11
XP_010772623.1	1	11
XP_010772630.1	1	28
XP_010772679.1	1	10
XP_010772680.1	1	10
XP_010772709.1	1	15
XP_010772867.1	1	13
XP_010772868.1	1	13
XP_010772869.1	1	13
XP_010772952.1	1	11
XP_010772960.1	1	11
XP_010773168.1	1	13
XP_010773169.1	1	13
XP_010773170.1	1	13
XP_010773172.1	1	13
XP_010773173.1	1	13
XP_010773271.1	1	18
XP_010773274.1	1	45
XP_010773288.1	1	13
XP_010773382.1	1	26
XP_010773383.1	1	26
XP_010773384.1	1	26
XP_010773708.1	1	21
XP_010773722.1	1	12
XP_010773723.1	1	12
XP_010773893.1	1	16
XP_010774103.1	1	23
XP_010774320.1	1	29
XP_010774454.1	1	14
XP_010774659.1	1	22
XP_010774806.1	1	13
XP_010775021.1	1	14
XP_010775023.1	1	13
XP_010775070.1	2	27
XP_010775093.1	1	17
XP_010775148.1	1	13
XP_010775149.1	1	13
XP_010775150.1	1	13
XP_010775171.1	1	18
XP_010775194.1	1	20
XP_010775304.1	1	14
XP_010775374.1	1	11
XP_010775517.1	2	20
XP_010775519.1	1	40
XP_010775684.1	1	10
XP_010775857.1	1	12
XP_010776220.1	1	11
XP_010776459.1	1	22
XP_010776461.1	1	13
XP_010776624.1	1	18
XP_010776625.1	1	18
XP_010776626.1	1	18
XP_010776654.1	1	10
XP_010776701.1	1	13
XP_010776755.1	1	19
XP_010776847.1	1	10
XP_010777467.1	1	26
XP_010777585.1	3	68
XP_010777616.1	1	12
XP_010777637.1	1	13
XP_010777638.1	1	13
XP_010777653.1	2	34
XP_010777760.1	1	15
XP_010777782.1	1	10
XP_010777898.1	1	10
XP_010777899.1	1	10
XP_010777921.1	1	13
XP_010777936.1	1	13
XP_010778113.1	1	12
XP_010778259.1	1	13
XP_010778417.1	1	11
XP_010778423.1	1	12
XP_010778437.1	1	12
XP_010778483.1	1	14
XP_010778570.1	1	16
XP_010778619.1	1	10
XP_010778821.1	1	13
XP_010778822.1	1	13
XP_010778829.1	1	15
XP_010778899.1	2	24
XP_010779096.1	2	38
XP_010779342.1	1	12
XP_010779377.1	6	66
XP_010779379.1	1	12
XP_010779430.1	1	10
XP_010779431.1	1	10
XP_010779432.1	1	10
XP_010779479.1	1	11
XP_010779480.1	1	11
XP_010779481.1	1	11
XP_010779482.1	1	11
XP_010779483.1	1	11
XP_010779484.1	1	11
XP_010779485.1	1	11
XP_010779585.1	1	12
XP_010779686.1	1	13
XP_010779695.1	1	13
XP_010779708.1	1	10
XP_010779709.1	1	10
XP_010779907.1	2	26
XP_010780004.1	1	12
XP_010780006.1	1	10
XP_010780008.1	1	12
XP_010780187.1	1	12
XP_010780196.1	3	42
XP_010780197.1	1	11
XP_010780336.1	1	10
XP_010780392.1	1	11
XP_010780397.1	1	18
XP_010780404.1	1	11
XP_010780405.1	1	11
XP_010780645.1	1	13
XP_010780654.1	1	15
XP_010780839.1	1	11
XP_010780925.1	1	13
XP_010780926.1	1	13
XP_010780927.1	1	13
XP_010781067.1	1	11
XP_010781096.1	1	13
XP_010781100.1	1	10
XP_010781281.1	1	10
XP_010781361.1	1	14
XP_010781370.1	1	12
XP_010781408.1	1	10
XP_010781624.1	1	11
XP_010781654.1	1	11
XP_010781754.1	1	14
XP_010781755.1	1	14
XP_010781756.1	1	14
XP_010781856.1	2	28
XP_010781938.1	1	16
XP_010781939.1	1	16
XP_010782238.1	1	10
XP_010782260.1	1	10
XP_010782342.1	1	18
XP_010782353.1	2	56
XP_010782450.1	1	11
XP_010782451.1	1	11
XP_010782527.1	1	10
XP_010782529.1	1	10
XP_010782530.1	1	10
XP_010782583.1	1	10
XP_010782703.1	1	26
XP_010782705.1	1	26
XP_010782706.1	1	26
XP_010782707.1	1	26
XP_010782708.1	1	11
XP_010782709.1	1	11
XP_010782710.1	1	11
XP_010782820.1	4	54
XP_010783024.1	1	16
XP_010783221.1	1	16
XP_010783222.1	1	16
XP_010783223.1	1	16
XP_010783258.1	1	11
XP_010783283.1	1	16
XP_010783293.1	1	12
XP_010783311.1	1	23
XP_010783312.1	1	23
XP_010783313.1	1	23
XP_010783633.1	1	10
XP_010783909.1	1	12
XP_010783935.1	1	10
XP_010784043.1	1	10
XP_010784044.1	1	10
XP_010784045.1	1	10
XP_010784254.1	2	63
XP_010784265.1	1	20
XP_010784470.1	1	14
XP_010784480.1	1	10
XP_010784481.1	1	10
XP_010784651.1	1	10
XP_010784781.1	1	18
XP_010784873.1	1	11
XP_010784906.1	1	13
XP_010784907.1	1	13
XP_010784912.1	1	12
XP_010784958.1	1	18
XP_010784966.1	1	18
XP_010784975.1	1	18
XP_010784985.1	1	18
XP_010784991.1	1	18
XP_010785131.1	1	12
XP_010785509.1	3	64
XP_010785591.1	1	10
XP_010785592.1	1	10
XP_010785647.1	1	10
XP_010785661.1	1	11
XP_010785935.1	1	11
XP_010786249.1	1	10
XP_010786315.1	1	17
XP_010786336.1	1	10
XP_010786363.1	1	15
XP_010786574.1	1	12
XP_010786575.1	1	12
XP_010786670.1	1	10
XP_010786671.1	1	10
XP_010786672.1	1	10
XP_010786673.1	1	10
XP_010786680.1	1	10
XP_010786732.1	2	24
XP_010786733.1	2	24
XP_010786734.1	2	24
XP_010786735.1	2	24
XP_010786812.1	2	31
XP_010786870.1	5	62
XP_010786965.1	1	15
XP_010787035.1	1	10
XP_010787125.1	1	22
XP_010787169.1	1	10
XP_010787219.1	1	12
XP_010787867.1	1	14
XP_010787953.1	1	13
XP_010788375.1	1	13
XP_010788452.1	1	10
XP_010788453.1	1	10
XP_010788454.1	1	10
XP_010788455.1	1	10
XP_010788467.1	2	29
XP_010788492.1	1	12
XP_010788563.1	1	13
XP_010788618.1	1	10
XP_010788619.1	1	10
XP_010788620.1	1	10
XP_010788621.1	1	10
XP_010788623.1	1	10
XP_010789064.1	1	14
XP_010789102.1	1	25
XP_010789103.1	1	25
XP_010789105.1	1	25
XP_010789106.1	1	25
XP_010789107.1	1	25
XP_010789182.1	1	10
XP_010789467.1	2	25
XP_010789469.1	2	25
XP_010789572.1	1	11
XP_010789823.1	1	29
XP_010789824.1	1	29
XP_010789825.1	1	13
XP_010789827.1	1	13
XP_010789828.1	1	13
XP_010789829.1	1	13
XP_010789941.1	1	12
XP_010790032.1	1	18
XP_010790399.1	1	14
XP_010790434.1	1	10
XP_010790475.1	1	10
XP_010790588.1	1	31
XP_010790706.1	1	10
XP_010790716.1	1	16
XP_010790826.1	1	19
XP_010790830.1	1	11
XP_010790868.1	1	28
XP_010790893.1	1	14
XP_010790917.1	1	14
XP_010790918.1	1	14
XP_010790919.1	1	14
XP_010790962.1	1	27
XP_010791076.1	1	12
XP_010791077.1	1	12
XP_010791127.1	1	13
XP_010791340.1	1	11
XP_010791341.1	1	11
XP_010791342.1	1	11
XP_010791452.1	1	20
XP_010791453.1	1	20
XP_010791462.1	1	10
XP_010791498.1	1	23
XP_010791541.1	1	11
XP_010791625.1	2	32
XP_010791738.1	1	30
XP_010791775.1	1	11
XP_010791779.1	1	26
XP_010791780.1	1	26
XP_010791781.1	1	26
XP_010791782.1	1	26
XP_010791806.1	1	11
XP_010791854.1	1	11
XP_010792020.1	2	62
XP_010792107.1	1	10
XP_010792123.1	4	61
XP_010792124.1	4	61
XP_010792125.1	4	61
XP_010792126.1	4	61
XP_010792185.1	1	11
XP_010792276.1	1	23
XP_010792403.1	1	16
XP_010792455.1	1	20
XP_010792481.1	2	45
XP_010792534.1	1	33
XP_010792592.1	1	31
XP_010792611.1	1	15
XP_010792649.1	1	10
XP_010792718.1	1	11
XP_010792837.1	1	23
XP_010793159.1	1	11
XP_010793160.1	1	11
XP_010793161.1	1	11
XP_010793162.1	1	11
XP_010793163.1	1	11
XP_010793164.1	1	11
XP_010793245.1	1	12
XP_010793471.1	1	10
XP_010793472.1	1	10
XP_010793610.1	2	25
XP_010793611.1	1	12
XP_010793728.1	1	12
XP_010793938.1	1	20
XP_010793963.1	1	17
XP_010793999.1	1	13
XP_010794004.1	1	12
XP_010794009.1	1	10
XP_010794104.1	1	10
XP_010794105.1	1	10
XP_010794106.1	1	10
XP_010794107.1	1	10
XP_010794108.1	1	10
XP_010794110.1	1	10
XP_010794165.1	1	32
XP_010794166.1	1	32
XP_010794167.1	1	32
XP_010794321.1	1	10
XP_010794397.1	1	12
XP_010794398.1	1	12
XP_010794399.1	1	12
XP_010794401.1	1	12
XP_010794402.1	1	12
XP_010794403.1	1	12
XP_010794695.1	1	11
XP_010794696.1	1	11
XP_010794705.1	1	12
XP_010794706.1	1	12
XP_010794707.1	1	12
XP_010794831.1	1	18
XP_010794912.1	1	12
XP_010794937.1	2	23
XP_010795004.1	1	10
XP_010795180.1	1	12
XP_010795240.1	1	22
XP_010795247.1	1	22
XP_010795253.1	1	19
XP_010795256.1	1	22
XP_010795264.1	1	22
XP_010795303.1	1	53
XP_010795389.1	1	10
XP_010795390.1	1	10
XP_010795447.1	1	10
XP_010795471.1	4	89
XP_010795486.1	1	10
XP_010795525.1	1	15
XP_010795849.1	1	13
XP_010795859.1	1	10
XP_010795861.1	2	25
XP_010795866.1	2	41
XP_010795867.1	2	41
XP_010795868.1	2	41
XP_010795869.1	2	41
XP_010795870.1	2	41
XP_010795872.1	2	41
XP_010796042.1	1	11
